question,coarse,fine
What will kill a mogawi?,DESC,desc
Who is Zoe?,HUM,desc
How does Lilly show her concern for Roy when he's receiving medical assistance?,DESC,manner
What kind of party did Ben and Elena attend?,ENTY,event
What happens to Harlan Ogilvy?,HUM,desc
What does the narrator discover?,DESC,desc
Why  did  Amy left Reardon?,DESC,reason
Why is Pierre's brother going to be hanged?,DESC,reason
How does the Duc punish Adet?,DESC,manner
What does Jerry convince Ed of when he chases him down?,DESC,desc
Why did Charley shoot holes in the roof?,DESC,reason
How did Grant acquire the Velociraptor larynx he used to confuse the raptors?,DESC,manner
How did Joey end up surviving the whole ordeal?,DESC,desc
What happens to Anne after the surgery goes wrong?,DESC,desc
Why does Amber decide to drop out of the pageant?,DESC,reason
What is ordered to the cellar according to the plan?,DESC,desc
How does Albert come to be King George VI?,DESC,manner
What is the Adjustment Bureau?,DESC,def
Why is the General shocked that his brother Reginald is attending the wedding?,DESC,reason
Why were Edith and Cecil delayed from getting to the church for their wedding?,DESC,reason
How does Thibault survive when he flees to the woods?,DESC,manner
What does Geigern prevent by emerging from Grusinskaya's bedroom closet?,DESC,desc
What is Ally's father's profession?,HUM,title
"Why did Larsen take care of van Weyden, when he had no appreciation for human life?",DESC,reason
Where does Gould order Nostromo to take his silver?,LOC,other
Why does Stan go to the children's play area?,DESC,reason
When does Stan ask Zoe to marry him?,NUM,date
What happens when Castor wakes up from a coma?,DESC,desc
What odd thing begins happening in the sky?,DESC,desc
Where did Arthur  Chamberlain work?,LOC,other
Why does Cigliutti shoot Bishop?,DESC,reason
Why is the Cardinal in England?,DESC,reason
Why doesn't Julian avenge his brother's death?,DESC,reason
How does Bloom flee FBI prosecution?,DESC,manner
Why does Lina turn down Johnny's proposal?,DESC,reason
What decision does Honey make after watching the special?,DESC,desc
What does the mural depict that Tweel shows the Earthmen?,DESC,desc
What happens to the finest lads during September 14th?,DESC,desc
What was Mrs. Catherick paid for her assistance with the church registry?,DESC,desc
What do Lord Greystock and Lord George think of Lizzie by the end of the story?,HUM,desc
What heirloom does Lizzie refuse to give up?,DESC,desc
Why is Anastasie selling Jewelry?,DESC,reason
What job did Ashe find in the newspaper?,HUM,title
"What are ""sun stones""?",DESC,def
How did Tom make the giant throw up?,DESC,manner
The story suggests that the landscape is what?,DESC,desc
Why does the Swede believe that the river has found another sacrifice?,DESC,reason
Where does Norman get the item he needs?,LOC,other
What happened after the fisherman told others about the village?,DESC,desc
What two influential church groups are mentioned within Cardinal Manning's story?,HUM,gr
What is Alan's special ability?,DESC,desc
How does Swann fake his own death?,DESC,manner
What is in the letter that the narrator gives to Saltram?,DESC,desc
Where must George go to save Weena and find his time machine?,LOC,other
How did Alvy meet Annie?,DESC,desc
What did Patterson promise his wife Helena when he left for Kenya?,DESC,desc
How many votes does President Shepherd say he will deliver of Sydney Ellen Wade secures all of her votes by the State of the Union?,NUM,count
Who does Popeye kill?,HUM,ind
Why did Reginald's wife want a divorce?,DESC,reason
How does Thibault get the ability to have his wishes for vengeance fulfilled?,DESC,manner
How is Thibault able to survive in the forest after he escapes his burning house?,DESC,manner
What is the Lucky Spot?,DESC,def
Who does Bitsey Bloom believe killed Constance Harraway?,HUM,ind
Why did old Giorgio kill Nostromo?,DESC,reason
Why does Nick resign from Parliament?,DESC,reason
What three country's did Uncle John and his nieces visit?,LOC,country
Who rescues Uncle John and Ferralti from Victor Valdi?,HUM,ind
What does Tony Luna ask Lou Gamiani to do when he decides to leave town?,DESC,desc
What is in the parcel?,ENTY,word
Who does Amy resemble?,HUM,ind
What huge news does Archer as Castor learn when he went to Castor's headquarters?,DESC,desc
What rule does Virgil make when he becomes the new marshal?,DESC,def
How do Wyatt and his brothers make money?,DESC,desc
Why did Bill sleep at the Blanding's house?,DESC,reason
Who planned the robbery that was being investigated when Domino Harvey was arrested?,HUM,ind
What are Dawson and Downey found guilty of?,DESC,desc
Why was Jemima thrown from her master's home?,DESC,reason
How many people made up the army?,NUM,count
Who becomes the new Nome King?,HUM,ind
What is the Solar Queen?,DESC,def
What did Dane and his group go looking for?,DESC,desc
What does the machine do that Dane finds in the pirates base?,DESC,def
What factions were involved in a Civil War?,DESC,def
"Apart from being faithless to Andor, what is Elsa's alternative?",DESC,desc
What is the final question of the game show asking for?,DESC,def
Where is the kingdom of Ruritania?,LOC,other
What do the policemen tell Walter about the woman in white?,HUM,desc
What is King Louis XV's relationship to Baucaire?,DESC,def
What is Max Cohen core belief?,DESC,desc
Whom did Elizabeth Ann live with in Vermont?,HUM,ind
What is mirandas view of Rebecca?,HUM,desc
What has Doe been doing so that he doesn't leave behind fingerprints?,DESC,desc
Why is the hidden kingdom called Twi?,DESC,reason
What is Twi?,DESC,def
What have the police nicknamed Vautrin?,ENTY,word
What sort of adventures did Davies have after his leg was amputated?,DESC,desc
Where do Stephen and Mary meet by chance?,LOC,other
"According to the Martian, where did humans come from?",DESC,desc
What did Sykes pretend to be in order to get closer to Julie?,DESC,manner
"What was Sykes' reason for killing Rudolph, the Dreyer's family dog?",DESC,reason
Why did the young Salvatore leave town at the same time as Elena?,DESC,reason
Why do the parents send their children over?,DESC,reason
What happens to the orphanage after it is built for the first time?,DESC,desc
When did Jerome recognise Theodore was his son?,DESC,desc
What is Balsquith's job?,ENTY,word
What does Norman need to perform the ritual?,ENTY,word
What had happened that led to Jordan and Teresa getting a divorce?,DESC,reason
Where did Tarzan find himself after he swam to shore?,LOC,other
What did Manning attempt to stop as it relates to John Newman?,DESC,desc
Why was to Duke angry at Glencora?,DESC,reason
Who does Henry eventually fall in love with?,HUM,ind
Who is Jeffrey?,HUM,desc
What subject does Sylvia Barrett teach?,ENTY,word
Where do Harry and Alaric work?,LOC,other
Where does Charlie like to spend his time?,LOC,other
How did Christopher end up in prison?,DESC,desc
Why was Gibbon's father upset with him?,DESC,reason
What Inpired Zuckerberg to create what would later become facebook?,DESC,desc
Why do The Daemons resent Santa Clause?,DESC,reason
Who does the wealthy farmer marry?,HUM,ind
What is the Hinkley groundwater contaminated with?,ENTY,substance
Who is invited to Brian Seaton's mansion?,HUM,ind
Where does Mr. Bean Work?,LOC,other
How long has Charlemagne and his army been fighting in Spain?,NUM,count
What crime is Esmeralda accused of?,ENTY,term/word
Who does Tom live with up north?,HUM,ind
How does Frank meet Brenda?,DESC,desc
How weapon kills Ronald ?,ENTY,other
Why did Dan go to the basement?,DESC,reason
Who was Frenchman de Vac?,HUM,desc
What happens to someone who drinks from Nicky's flask?,DESC,desc
What did Stephen Silk do that caused him to be sent away?,DESC,desc
Who does the Narrator meet during his flight home from his business trip?,HUM,ind
How does Mike make money?,DESC,manner
Why did Brad lose his job at All-American Burger?,DESC,reason
Who is chasing and pursuing olivia?,HUM,ind
What happens to Nuke at the end of the story?,DESC,desc
Why did Jim Morrison invite his classmates to Death Valley?,DESC,reason
Why was Maya sent to Washington DC?,DESC,reason
Who help Emily escape from the castle?,HUM,ind
Why does Emily live with her aunt after her father's death?,DESC,reason
Who did Tom Kittens meet in the attic?,HUM,ind
Where does Tom Kitten hide?,LOC,other
Where did Mr Povey worked?,LOC,other
When did Strunsky publish her memoris?,NUM,date
How did critics respond to the letters?,DESC,manner
What is revealed about Elise's occupation ?,DESC,desc
Who attends Mrs. Tittlemouse's party?,HUM,ind
Where do Mr. and Mrs. Vervelle live?,LOC,other
Why did the spectator try to throw a stone at Waller?,DESC,reason
Who killed Frank?,HUM,ind
Why does Stew punch Bingy?,DESC,reason
What does John removing Leena's makeup reveal?,DESC,desc
What physical traits did the stranger possess?,DESC,desc
How did the protagonist's wife die?,DESC,manner
Who hired the assailant that Sailor killed?,HUM,ind
Why does Sonny release the security guard?,DESC,reason
What happens to Sonny in the end?,DESC,desc
What does Dr. John Dee predict?,DESC,desc
How many ships did the Armada have compared to England?,NUM,count
How does Jill die?,DESC,manner
Who is Martin Blank's principal rival?,HUM,ind
Who is Marcella?,HUM,desc
Where is the Fiddlefest concert finally held?,LOC,city
Why was Micky looking through Laura's purse?,DESC,reason
Where is the troll market located?,LOC,other
How does St. Luke kill the caretaker?,DESC,manner
What happens to St Luc in the swimming pool?,DESC,desc
Where does a bomb explode killing two undercover U.S. custom agents?,LOC,other
Who did Mordechai fall in love with?,HUM,ind
What happened to La Nela before she is taken in?,DESC,desc
How did Amelia's nose get ruined?,DESC,manner
How did Amelia break her nose?,DESC,manner
What does Sylvia do because she believes Charlie Kinraid is dead?,DESC,desc
What happens to the assassin's car?,DESC,desc
What does Cardinal Strauss give Langdon as a gift for his research?,ENTY,other
Why did Larch faked his diagnosis and medical record?,DESC,reason
In what part of the world is Santa Isabel Island found?,LOC,other
Where is Emily when Palamon and Arcite both notice her?,LOC,other
"What does the Great Chain of Love do, according to Aristotelian philosophy? ",DESC,desc
What happens to Eddie during the robbery?,DESC,desc
Why does Gerard attempt suicide in the first place?,DESC,reason
What did Gerard do efore he died?,DESC,desc
How did Sherlock find out Hoffmanstal had been arrested?,DESC,manner
Where does Arabella live?,LOC,other
Why is Kale sentenced to three months house arrest?,DESC,reason
Who is Carl Hughes?,HUM,desc
What attratcs men to Anderson?,DESC,desc
How does Evie locate the wand?,DESC,manner
Who is ben going to allow to live in Auradon?,HUM,ind
What was Chichikov's former job?,HUM,title
Who does Tentetnikov wish to marry?,HUM,ind
Why did Alfred want Eyolf to become an intellectual?,DESC,desc
Who heard the argument betwwen manston and his wife?,HUM,ind
Who holds Marcus and his friends to be interrogated?,HUM,ind
Why did Capa travel to Los Angeles?,DESC,reason
Who is Winter LeMarchand?,HUM,desc
What happens to Powers and Kensington when they enter the Virtucon Headquarters?,DESC,desc
Why is George's wedding to Arabella called off?,DESC,reason
When does Liston quit the championship fight against Clay?,NUM,date
Who was Botton Bright?,HUM,desc
Why did Brewster bailout a bank?,DESC,reason
Why does Andrew return to New Jersey?,DESC,reason
When does Elle meet Emmet?,NUM,date
What did Matsumoto find in the box that Nick gave him with the dress shirt?,ENTY,other?
Who is Cratylus?,HUM,desc
Who does Apollo Creed dress up as?,HUM,ind
When does Jennie tell Kane about Vesta?,NUM,date
Who is Letty?,HUM,desc
Why did Gilbert go to work at White Sands School?,DESC,reason
How is Trudy critically injured?,DESC,manner
Why did Harold and Kumar stop at Princeton University?,DESC,reason
What is Jeremy Fisher's rod made of?,ENTY,substance
Who is the scientist approached by emmisaries of the corporation?,HUM,ind
Who is Ling?,HUM,desc
Why does Dale get arrested?,DESC,reason
Why do Asian mobsters storm the barn?,DESC,reason
Why is Dale arrested?,DESC,reason
Where is Z's ant colony located?,LOC,other
What is Lance's reaction to Kelly's confession?,DESC,desc
What do Kelly and Bart do on the set of the war program?,DESC,desc
What was Judit's 2008 confession?,DESC,desc
What was an element of interest in Basquiats work?,DESC,desc
What happened to Donny?,DESC,desc
Ultimately who was trying to get the ransom money from Jeffery Lebowski?,HUM,ind
Which character is an Egyptian Monk in the story?,HUM,ind
What causes Hypatia to almost convert to Christianity?,DESC,reason
What is Will Rodman trying to find by testing the drug ALZ-112?,DESC,desc
Who does Arksenty begin to believe he is in the story?,HUM,ind
What kind of deception does Ramius use to fool Ryan and the Americans?,DESC,desc
Why did the police shoot Boone?,DESC,reason
Where does Ethan Edwards return after an eight-year absence?,LOC,other
How did the Trapper save everyone from the Indians?,DESC,manner
How did William Bill introduced Death to his family?,DESC,manner
Why is Uncle Silas sufferng from mysterious catatonic fits?,DESC,reason
What are Qualen and Travers trying to locate after their plane crashes into the mountains?,DESC,desc
What is the 4th extreme ordeal?,DESC,def
What is the settting when this story begins?,DESC,desc
What happened to Dame Elspeth's husband?,DESC,desc
What do they discover about Kyle?,DESC,desc
What is Larsan's occupation?,DESC,desc
What does Ghandi do to protest the violence?,DESC,desc
WHy does Dave invite Kate to an AA meeting?,DESC,reason
"After Kate was fired and relapsed, who drove her home from the bar?",HUM,ind
What is Jabroka?,DESC,def
What was Harcourt planning when Sykes and Francisco stop him?,DESC,desc
Where does Roderick insist his sister should be entombed for 2 weeks?,LOC,other
"After Bob's departure, what does Anthony and Dignan use for transportation?",DESC,desc
Who is Caitlin Bree?,ENTY,veh
What it the primary purpose of Bobby joining the police force?,HUM,desc
Why does Bernick try to send the Indian Girl out even though it is not repaired?,DESC,reason
How does the desperado attempt to murder Allan?,DESC,manner
How did Julia die?,DESC,manner
Who saves Duncan from the Sanctuary?,HUM,ind
Why does Kell kill Connor's mother?,DESC,reason
Why does Kate talk to Kell?,DESC,reason
How does Indiana Jones survive the nuclear explosion?,DESC,manner
What did Alice do upon returning by herself to the garage?,DESC,desc
Where is Ferdinand sent?,LOC,city
What do they expect to happen upon reaching Papeete?,DESC,desc
What became of Davis in the end?,DESC,desc
Who gave warning about the build-up of the military industrial complex?,HUM,ind
What allows Loki to get to Earth?,DESC,reason
"Why was the ""Avengers Initiative"" reactivated?",DESC,reason
What does Michel offer to tell in return for Paulettes safety?,DESC,desc
Which of James Marshall's family members do not survive the encounter on Air Force One?,HUM,desc
What is Cesar shot with after spray painting a graffiti of the dead dog?,ENTY,substance
What does Erik say he will soon die of?,DESC,desc
Why does Abraham Grundle support depositing Gabriel?,DESC,reason
How did Mackenzie spend most of her adult life?,DESC,manner
Why does McCandless stop riding on freight trains and go back to hitchhiking?,DESC,reason
"When Malcolm moved to Boston, what does he decide is his best way to make a living?",DESC,desc
On what ship did Gilliat make arrangements for the newlyweds Deruchette and Ebenezer to run away on?,DESC,def
"When Bob is on his way to the airport, what causes him to get out of the cab?",DESC,reason
What is Charlotte's husband's profession?,HUM,title
Why is Bob leaving the hotel?,DESC,reason
What is the Keymaker's purpose as far as the protagonists needs?,DESC,desc
What did Jarvis did when his rocket broke down?,DESC,desc
What happened to Najma once Najid dies?,DESC,desc
What does the human resources team do after trading closes for the day?,DESC,desc
What makes Neal so polular?,DESC,desc
"At the beginning of the story, what do the Nazis do to Jakob's home?",DESC,desc
What relationship does Ballard begin with Vaughan?,DESC,desc
How does Sam persuade GERTY to let him outside?,DESC,manner
Why does Hi assault his supervisor?,DESC,reason
Why did Ed leave Hi at the convenience store?,DESC,reason
How does Ned discover the real identity of Matty Walker?,DESC,manner
What does the sheriff inform Lila and Sam about regarding Mrs. Bates?,DESC,desc
Why does Magua present the women and Hawkeye to the Chief?,DESC,reason
"By the time the story ends, how has the the relationship between the narrator and Mrs. Todd developed?",DESC,manner
Why is Fiona disappointed when Shrek rescues her?,DESC,reason
How does Horowitz attempt to injure Paco?,DESC,manner
What is Bill attempting to do when killed?,DESC,desc
Where does Alice wake up?,LOC,other
What do Anne and Phillipa have in common?,DESC,desc
What is Dix's former occupation?,DESC,desc
Why did Alex and Juliet become concerned about David's mental state?,DESC,reason
How were the dead bodies discovered?,DESC,manner
How does Jack explain his broken nose to his fiancee?,DESC,manner
What does the monkey do when he climbs the persimmon tree to pick the fruit?,DESC,desc
Who does Aurora suspect of stealing the love poems which were from Henry?,HUM,ind
Where have the people of earth gone in 2805?,LOC,other
Why can Turner not see the face of the woman he helped?,DESC,reason
Who raises Amadis after he was abandoned on a barge?,HUM,ind
Where did Adam and Thaddee know each other from?,LOC,other
Why does the Baron initially not want Agatha to marry Anhalt?,DESC,reason
Why was Mr. Cobb taken to the Hospital?,DESC,reason
What were the thre hunters trying to prevent the slave trader from doing?,DESC,desc
Which men did Laura agree to marry?,HUM,ind
What did the count decide to do when his money didn't help?,DESC,desc
What did Furtwangler do after shaking hands with the Propaganda minister Joseph Goebbels?,DESC,desc
What does Sharon find taped to her mailbox?,DESC,desc
Which group was initially thought to be responsible for the 1996 virus?,HUM,gr
What is Sam Lombardo's profession?,HUM,title
What does the warden tell Anderton as he puts him in prison?,DESC,desc
"In 1964, how was John killed?",DESC,desc
Who tries to warn Charalois about Novall and Beaumelle's growing intimacy?,HUM,ind
Where are the Doctor and the crew as they make the trip back to England?,LOC,other
HOW WAS HENRY INJURED?,DESC,desc
Why was Jim Conklin suffering delirium?,DESC,reason
Why does Larry Gopnik's wife want a divorce?,DESC,reason
What happens to the nannies as they appear outside?,DESC,desc
Which person does Tim fall for in Cedar Rapids?,HUM,ind
What is Rasputin's goal when he resurfaces from limbo?,DESC,desc
What are mixed cases?,DESC,def
What type of prince will a population most easily accept?,DESC,def
What happens to Ted and John's friendship after they have a fight in John's hotel room?,DESC,desc
What does Margit plan to do so that she can be with Gudmond?,DESC,desc
What do Ed and Kathy do at the end of the story?,DESC,desc
What did Sidney Falco do for a living?,DESC,desc
How are Vincent and Anton related?,DESC,desc
How do Sam and Carl know each other?,DESC,desc
What is Ola Mae Brown's profession?,HUM,title
How did Crusoe mark the days on the Island of Despair?,DESC,manner
"After leaving Mississippi, where did the Blackadders settle down?",LOC,other
What is the fatal injury that Jacob sustains which ultimately leads to his death?,DESC,desc
Which person was asked to walk Harvey's daughter down the isle?,HUM,ind
Where does Rogan re-watch the game?,LOC,other
Who is Darnley?,HUM,desc
How does the queen decide to kill Onaelia?,DESC,manner
What does St. Augustines work outline?,HUM,title
When did Bowman think she would experience the same thing that happened to Sixpack?,NUM,date
Which airport does Kirt Kettner work at?,LOC,other
What inspires Elaine to reunite with Ted?,DESC,desc
Where does Kitty Killigrew work?,LOC,other
What should these projecting heads focus on?,DESC,desc
Who is Princess Angelica?,HUM,desc
Where was the island that Norman moved to?,LOC,other
What caused Trevor to crash the car into the river?,DESC,reason
What is the name of the team led by Major William Stryker?,HUM,gr
What do Charlie and Tom do for a living?,HUM,title
What does Tom hide in the cemetery?,ENTY,other
How does Sebastian approach Greg with his suspicions?,DESC,manner
Why does Hetty stay away from the village when she fails to find Arthur?,DESC,reason
What event makes Gloria unable to love?,ENTY,event
Why does Joe go to prison?,DESC,reason
Why does Aisha help The Losers get back to America?,DESC,reason
How was Colleen killed?,DESC,manner
Who asks Beane to come and work for them at the end of the story?,HUM,ind
"In the beginning of the story, what is Crichton's opinion on the class system?",DESC,desc
Why are the guests at the party merry?,DESC,reason
Why is Haystoun asked to go on this mission?,DESC,reason
What is special about the night that Matt Hobbs proposes to his girlfriend Beth?,DESC,desc
What happened as the last man on Earth sat alone in a room?,DESC,desc
Nils uses a white farm goose to do what?,DESC,desc
"Who are the ""Blues""?",DESC,def
Who does Barris see in the crowd at his wedding?,HUM,ind
What arrangement allows Lucy to return to Sam?,DESC,desc
Why does Cher stop Tai from being with Travis Birkenstock?,DESC,reason
What does the happiness of Miss Geist and Mr Hall's relationship teach Cher?,DESC,desc
What does share captain in an effort to lead a purposeful life and attrack Josh?,DESC,desc
How did Ben finally persuade a reluctant Anna to return to the Mayflower?,DESC,manner
Who is Capt. Wynnegate in love with?,HUM,ind
What happens as result of Henry losing the money?,DESC,desc
Who does Noel leave his fortune to?,HUM,ind
Why can't Guy marry her?,DESC,reason
What action did the police take after hearing Guy's alibi for Miriam's murder?,DESC,desc
Where was Stephen hiding?,LOC,other
"What does the material, cavorite, developed by Cavor, do?",DESC,desc
Why does Edward take on a junior partner?,DESC,reason
What happened to the Baldies?,DESC,desc
What countries in real life are portrayed in this story of Conan?,LOC,country
"After escaping from Baron Henry, where does Otto take refuge?",LOC,other
Who comforts Otto while he is in captivity?,HUM,ind
Who is John Dolittle?,HUM,desc
How did Pauline and Juliet get caught for murdering Pauline's mother?,DESC,manner
How did Lou lose his money when he bet everything on sports?,DESC,manner
What happens to Appolonia after her marriage to Michael?,DESC,desc
How does Vito Corleone die?,DESC,manner
"How does Apollonia Vitelli, Michael's first wife die?",DESC,manner
Which piece of equipment managed the freezing tubes?,ENTY,other
Why does Jeannie get arrested?,DESC,reason
Where does Nicolette and Aucassin go when they are reunited?,LOC,other
Why does Phillip hold back from his love for Kate?,DESC,reason
What sort of event was happening at the castle?,ENTY,event
What are the children called who survive the darkness?,HUM,title
"In the story, what is Verger's demise?",DESC,desc
Which two people does Maggie have romantic relationships during the story?,HUM,ind
What is the secret Claudia keeps from Jim Kurring?,DESC,desc
What did Dixon do before calling an ambulance for Linda?,DESC,desc
Why does Cynthia bring Jill to the park?,DESC,reason
Why did Clifford get suspended from Harvard?,DESC,reason
What does Hopkins demand Delacroix do at gunpoint?,DESC,desc
How does Sara's audition go?,DESC,manner
When did Sara transfer schools?,NUM,date
What causes Sarah to give up on ballet?,DESC,reason
What does Severin take on the way to Florence?,ENTY,other
What event causes Severin to stop submitting to Wanda?,ENTY,event
What is Sybella  employed as when she has to go to work?,HUM,title
When Harold Beecham proposes for the second time to Sybella how does she respond?,DESC,manner
How does Sobel discover a bound and gagged man?,DESC,manner
"According to what Hedy tells Allie, why does Hedy always feel lonely?",DESC,reason
How did Benny save some people's lives?,DESC,manner
How does Benny make money as a child?,DESC,manner
Why does Phillip shoot Butch?,DESC,reason
What are the Denominators?,DESC,def
What does Rudy do when he sees Babette's cousin climbing to her window?,DESC,desc
Why did Olive lie about losing her virginity?,DESC,reason
Where does Karl get a job?,LOC,other
What advice does Vasudeva give Siddhartha about his son running away?,DESC,desc
"When the story ended, what was Jonah doing?",DESC,desc
What does Pip do for a job in Cairo?,HUM,title
Why does Molly need $900?,DESC,reason
Why does Terry extend his stay with his sister?,DESC,reason
What causes Terry to stay with his sister longer?,DESC,reason
What did Elmer Moffatt hate?,DESC,desc
Why does Undine blackmail Ralph?,DESC,reason
Why does Undine want to bribe the Pope?,DESC,reason
What was Almayer doing when Mrs. Almayer snuck Nina away?,DESC,desc
Where does the couple hide their nuts when they rin out of tree stumps?,LOC,other
Who discovers Timmy in the tree?,HUM,ind
What actually did happen at the chemical plant?,DESC,desc
What did lang's former aide struggle to do?,DESC,desc
Why was the protagonist satisfied with Killing Claverhouse?,DESC,reason
When do Maude and Alleyne admit their love for each other?,NUM,date
What does Rachel do to demoralize the team?,DESC,desc
After the media gets bored of the fake war story where does their attention turn?,LOC,other
In what country did this story take place?,LOC,country
How does Douglas die?,DESC,manner
What time of the day was Blanco seen walking along a road out of town?,NUM,other
What is the name of Adeline Hulot's husband?,HUM,ind
How does David gain a large inheritance?,DESC,manner
How does Stephen try to escape the gun battle with the biker gang?,DESC,manner
What does Ronna do with the Ecstasy pills?,DESC,desc
What is Charlie doing when Haven first sees her?,DESC,desc
"What happens when  Jim returns to the Burgis Leader, Doramin?",DESC,desc
Who does Mrs. Proudie give the position of warden to?,HUM,ind
Why does the Woggle-Bug earn higher pay digging ditches?,DESC,reason
How does The Accountant trick two state troopers?,DESC,manner
Whose marriage is in trouble?,HUM,ind
Whose marriage was in danger?,HUM,ind
What drugs does the Lieutenant use?,ENTY,substance
Who seduces Bruce at his celebration party?,HUM,ind
Who becomes infuriated with Tom when he will not sell some of his inventions?,HUM,ind
Who does Gerard's son become at the end?,HUM,ind
Who did Gerard's son become?,HUM,ind
What solace does Holmes find when this is over?,DSC,
Who advises Charlotte to write home to her mother?,HUM,ind
What happens after monster Ricky drops his weapon?,DESC,desc
Where does Alice hide after finding Bill's body?,LOC,other
Who was the killer of the counselors and other people?,HUM,ind
Who did Marvin Acme give his will to for safekeeping?,HUM,ind
How is Doom's Dip machine destroyed?,DESC,manner
What does Kristen reveal at the seminar?,DESC,desc
Where were the Clutters found?,LOC,other
Who plans to document the Clutter tragedy?,HUM,ind
What was the name of Capote's final work?,ENTY,other
What is the name of Lupin's newspaper?,ENTY,cremat
What is the name of Lupin's mouthpiece newspaper?,ENTY,cremat
Where does Lupin send Sholmes when he captures him?,LOC,other
Who is Lupin with when he meets Sholmes in the Paris restaurant?,HUM,ind
How does Anne feel about her treatment of Roy?,DESC,desc
Whose marriage proposal does Anne reject midway through college?,HUM,ind
Who forms an alliance to bring down Marcone?,HUM,gr
Who does Clara really think she is in love with at the beginning of the story?,HUM,ind
Which friend does Lady Aylmer ask Clara to cuts ties with?,HUM,ind
Of what age are the Latin bookwriters Jean rejects?,NUM,period
Most of Jean's art is reprints by whom?,HUM,ind
"Who is Hugo to David, Juliet and Alex? ",HUM,title
Where does Juliet secretly buy a plane ticket to?,LOC,other
Where does Godfrey see Phina after being rescued?,LOC,other
What is the name of the Island that is auctioned off?,LOC,other
How does Treves get Mr Bytes to bring Merrick to the hospital for medical exams?,DESC,desc
Who ensures that John Merrick will be able to reside at hospital even againt hospital council concerns.?,HUM,ind
Who grants merrick's residence?,HUM,ind
Where does Leeloo meet Korben Dallas?,LOC,other
How many letters does Geoffrey Tempest receive?,NUM,count
What has happened to the Master Control Program since its invention by Ed Dillinger?,DESC,desc
Who is the current ENCOM's Senior Executive VP?,HUM,ind
Kevin Flynn's video games were stolen by whom?,HUM,ind
What kind of accident were Wendy and Billy in?,DESC,desc
"While buying lingerie, who does Alec have sex with?",HUM,ind
What do Alec and Leslie argue over?,DESC,desc
Which war is Walt Kowalski a veteran of?,ENTY,event
Who is Walt Kowalski?,HUM,desc
What did Walt Kowalski suffers from?,ENTY,dismed
What is the name of Lady Dedlock's lover?,HUM,ind
Who does not accept white fang?,HUM,ind
Who is Weedon Scott?,DESC,desc
What is White suffering from?,ENTY,dismed
What is Barrenger injured in?,DESC,desc
Where did Jessica Martin take her son Ricky before she was kidnapped?,LOC,other
The two opposing groups are engaged in a long term conflict. What is this conflict named?,ENTY,event
What is the war called between the two factions?,ENTY,event
What  is the name of the war being fought?,ENTY,event
What kind of war is it?,DESC,desc
What type of game does the Knight challenge death to?,ENTY,sport
What does the Knight hope to prolong by playing chess?,ENTY,event
What does Nick do to Trent?,DESC,desc
How is Cobb nearly killed on the Donner Pass?,DESC,manner
"In what condition did Mr. Tyrus Raymond ""Ty"" Cobb keep his guns almost all the time? ",DESC,desc
What was Al Stumps profession?,HUM,title
How does Conan defeat the monster?,DESC,manner
Who was blamed for the illness of the king?,HUM,ind
How did Jankowski's parents die?,DESC,manner
Which of Aunt Jane's nieces are newly married at the start of the story?,HUM,ind
Who is the vicar's son engaged to in the story?,HUM,ind
What does Beetlejuice want in exchange for saving Adam and Barbara?,ENTY,other
Who does Major Henry Grantly end up with at the end of the story?,HUM,ind
What type of dinosaurs attack the InGen team members as they run through the tall grass savannah?,ENTY,animal
Who is going on a journey with his brother Sssuri?,HUM,ind
What is the name of the leader of the gang besieging the oil refinery?,HUM,ind
What happens to Pugachev after he is defeated?,DESC,desc
Who reveals what happened to the Graza?,HUM,ind
Where does Jackie decide to go once she has the money?,LOC,other
"At the end of the story, Jackie plans to leave the country and go where?",LOC,other
What does Mark Dargus do for a living?,HUM,title
Who was King Anko married to?,HUM,ind
Who gets married at the end of the story?,HUM,ind
Who is the star of The Prince and The Showgirl?,HUM,ind
Lucy breaks up with Colin because of his growing infatuation for who?,HUM,ind
How does Sam react to his feelings for Josie?,DESC,manner
Who killed Rudy's mother?,HUM,ind
Who is Rosemary?,HUM,desc
Who finds the baby?,HUM,ind
Who does Barbara work for?,HUM,group
What is the occupation of Ocsar's father?,HUM,title
What did Ben give his daughter instead of documents?,ENTY,other
What was fake?,ENTY,other
Who was shot in revenge?,HUM,ind
What does the nurse set up?,DESC,desc
What is the title of the comic Holden writes after losing Alyssa?,ENTY,cremat
What is the name of the town within the mountains of Abruzzo?,LOC,city
Who hired Grassou before he met Monsieur Vervelle?,HUM,ind
Where does the bottle-dealer live?,LOC,other
What do the American soldiers do at night to occupy their time?,DESC,desc
"To what treasure do Troy, Conrade, Chief, and Archie believe the map will lead them?",ENTY,substance
How is Dr. Floyd transported to see the artifact?,ENTY,veh
What is the name of the United States outpost on the moon?,ENTY,other
What war did Bill claim he served in?,ENTY,event
What was Andy Kaufman's dream venue?,LOC,other
"As a result of a wrestling injury, what does Kaufman have to wear?",ENTY,product
What color are the Angels wings?,ENTY,color
How old was the vampire Louis at the beginning of the story?,NUM,period
What is Eva's job?,HUM,title
What is the name of the man who destroyed Dr. Westlake's laboratory?,HUM,ind
Who was Strack collaborating with throughout the story?,HUM,ind
Who does Westlake impersonate to get revenge?,HUM,ind
Where do Jack and Anna plan to run off to?,LOC,other
Who will be going to South America?,HUM,ind
